year,id,agekdbrn,educ,racehisp
2000,421,35,16,White
2000,422,23,15,White
2000,423,18,14,White
2000,425,27,14,White
2000,426,18,15,White
2000,427,19,13,White
2000,428,21,12,Hispanic
2000,432,31,17,Hispanic
2000,434,23,14,White
2000,435,19,13,White
2000,436,28,15,Hispanic
2000,439,31,12,Other
2000,440,20,10,White
2000,441,30,11,White
2000,442,24,16,White
2000,443,21,12,White
2000,445,24,14,Black
2000,447,26,17,White
2000,448,19,13,White
2000,449,17,11,White
2000,451,21,14,Hispanic
2000,453,17,12,Hispanic
2000,455,26,13,White
2000,459,22,12,Hispanic
2000,460,24,16,Hispanic
2000,461,22,12,White
2000,462,32,14,White
2000,463,20,13,Hispanic
2000,466,17,12,Hispanic
2000,467,21,10,Hispanic
2000,468,18,12,Hispanic
2000,469,22,9,Hispanic
2000,470,17,16,Black
2000,471,20,12,Hispanic
2000,472,31,20,Black
2000,473,27,12,White
2000,474,19,12,White
2000,475,21,12,Black
2000,476,18,17,Black
2000,477,18,12,Hispanic
2000,478,32,13,White
2000,479,24,11,White
2000,480,20,16,Other
2000,481,24,16,White
2000,483,24,13,White
2000,485,19,16,Black
2000,487,22,10,Hispanic
2000,488,25,12,Black
2000,489,26,12,Hispanic
2000,490,24,14,Hispanic
2000,491,29,18,White
2000,497,23,18,White
2000,498,24,13,Black
2000,500,17,12,Hispanic
2000,501,16,12,Black
2000,502,33,17,Other
2000,504,20,9,Hispanic
2000,505,22,9,Black
2000,507,19,13,Hispanic
2000,510,25,12,Black
2000,512,24,12,Black
2000,513,23,12,Hispanic
2000,514,16,9,Black
2000,515,17,10,Black
2000,516,22,14,Black
2000,517,25,10,Black
2000,518,34,14,Hispanic
2000,519,18,9,White
2000,520,20,12,Hispanic
2000,521,21,12,Hispanic
2000,524,25,8,White
2000,527,22,12,White
2000,530,30,13,White
2000,533,32,8,Other
2000,534,25,12,Hispanic
2000,535,19,11,Hispanic
2000,538,25,12,Hispanic
2000,539,24,16,White
2000,540,28,12,White
2000,541,21,14,White
2000,542,20,14,White
2000,543,25,10,Hispanic
2000,545,24,14,White
2000,546,28,19,White
2000,547,16,16,Hispanic
2000,548,17,12,Black
2000,549,25,12,Hispanic
2000,550,17,11,Black
2000,552,24,8,Hispanic
2000,553,27,15,Black
2000,554,22,12,Hispanic
2000,555,18,12,Black
2000,556,21,14,Black
2000,557,21,14,Hispanic
2000,558,25,10,Black
2000,561,30,18,White
2000,562,30,16,White
2000,564,22,14,White
2000,565,26,12,White
2000,566,28,14,White
2000,567,19,17,White
2000,568,36,19,White
2000,569,29,14,Hispanic
2000,571,26,8,Hispanic
2000,572,35,8,Hispanic
2000,573,37,18,Hispanic
2000,574,21,13,Hispanic
2000,576,19,9,Hispanic
2000,577,24,13,White
2000,578,20,14,Other
2000,579,17,12,Black
2000,583,30,14,Other
2000,584,21,10,Hispanic
2000,587,40,14,Other
2000,588,25,16,Other
2000,589,32,16,White
2000,590,36,12,White
2000,591,25,12,White
2000,592,31,14,White
2000,593,24,13,White
2000,594,24,14,White
2000,595,29,12,White
2000,596,23,12,White
2000,597,27,12,White
2000,598,22,14,White
2000,600,23,14,White
2000,601,24,13,White
2000,602,25,8,White
2000,604,17,11,Black
2000,610,28,12,White
2000,611,27,13,White
2000,613,24,16,White
2000,615,33,18,White
2000,616,34,18,White
2000,619,28,12,White
2000,622,23,13,White
2000,625,28,13,White
2000,627,24,12,Other
2000,628,28,16,Other
2000,629,22,14,Other
2000,630,19,11,White
2000,631,20,9,White
2000,633,24,14,Black
2000,635,20,13,White
2000,636,20,13,White
2000,641,19,13,White
2000,642,36,13,White
2000,644,25,16,White
2000,645,17,12,White
2000,646,22,12,Hispanic
2000,647,27,14,Hispanic
2000,651,18,13,Black
2000,652,18,11,Hispanic
2000,653,28,11,Black
2000,655,21,10,White
2000,658,30,19,White
2000,659,20,11,Hispanic
2000,662,31,12,Hispanic
2000,665,30,12,Hispanic
2000,667,32,14,White
2000,668,28,12,White
2000,669,22,12,White
2000,670,36,18,White
2000,671,29,13,White
2000,672,28,12,White
2000,673,33,16,White
2000,675,21,12,Black
2000,676,15,11,Black
2000,677,18,10,Black
2000,678,17,11,Hispanic
2000,679,20,13,Black
2000,680,28,14,White
2000,682,26,12,White
2000,683,21,11,White
2000,685,29,18,White
2000,686,25,11,White
2000,689,21,15,White
2000,690,17,14,White
2000,692,20,12,White
2000,693,19,14,White
2000,694,27,16,White
2000,695,21,14,White
2000,696,17,18,White
2000,697,31,13,White
2000,698,17,9,White
2000,701,18,11,White
2000,702,18,11,White
2000,703,25,12,White
2000,708,22,8,White
2000,709,24,14,White
2000,710,22,13,White
2000,711,17,9,Other
2000,713,20,14,White
2000,714,22,12,White
2000,715,22,12,White
2000,716,27,12,White
2000,717,31,12,White
2000,718,19,11,White
2000,721,25,14,White
2000,724,23,12,Hispanic
2000,725,18,14,White
2000,726,35,16,White
2000,727,22,10,White
2000,730,24,16,White
2000,731,24,15,Hispanic
2000,732,31,12,White
2000,734,23,16,Hispanic
2000,735,22,13,White
2000,736,27,11,White
2000,737,22,16,White
2000,738,21,12,White
2000,739,25,14,White
2000,740,29,13,White
2000,741,24,16,White
2000,742,18,12,White
2000,743,21,14,White
2000,745,28,16,White
2000,746,27,16,White
2000,747,25,16,Black
2000,748,18,11,White
2000,749,20,14,White
2000,750,38,12,White
2000,752,22,12,White
2000,753,18,12,White
2000,755,22,13,White
2000,756,18,12,White
2000,759,19,12,White
2000,762,19,12,White
2000,765,19,12,White
2000,766,23,14,White
2000,767,33,14,White
2000,768,25,12,White
2000,769,28,15,White
2000,770,20,16,White
2000,774,31,13,White
2000,776,28,15,White
2000,780,24,14,White
2000,781,20,12,Hispanic
2000,782,25,13,White
2000,783,20,12,White
2000,784,23,12,White
2000,785,27,13,White
2000,787,24,12,White
2000,788,25,14,White
2000,792,43,16,White
2000,793,22,12,Hispanic
2000,795,19,8,Hispanic
2000,797,27,16,White
2000,798,24,15,Black
2000,799,24,20,White
2000,801,21,12,White
2000,804,22,12,White
2000,805,21,8,White
2000,806,18,13,White
2000,807,35,12,White
2000,808,27,10,White
2000,809,23,12,White
2000,811,17,8,White
2000,812,28,17,White
2000,813,28,12,White
2000,814,20,12,White
2000,815,19,10,White
2000,816,17,9,White
2000,818,20,12,White
2000,819,20,12,Black
2000,821,26,12,White
2000,822,30,10,White
2000,823,20,8,White
2000,824,25,12,White
2000,825,34,10,Black
2000,826,18,12,White
2000,827,14,13,Black
2000,828,20,13,White
2000,830,27,12,White
2000,832,31,16,White
2000,833,25,12,White
2000,835,30,14,White
2000,836,27,16,White
2000,837,24,13,White
2000,838,24,14,White
2000,839,33,18,White
2000,841,23,12,Hispanic
2000,844,20,11,White
2000,846,30,13,White
2000,848,20,13,White
2000,850,22,16,White
2000,851,39,19,White
2000,852,22,16,White
2000,854,27,16,Black
2000,855,29,16,White
2000,856,27,10,White
2000,857,27,13,White
2000,858,18,14,White
2000,860,18,14,White
2000,861,22,9,White
2000,862,20,13,White
2000,863,31,15,White
2000,864,17,10,Black
2000,865,16,12,Black
2000,867,31,13,White
2000,868,28,8,White
2000,870,22,12,White
2000,871,21,17,White
2000,872,19,14,White
2000,873,24,18,White
2000,874,22,16,White
2000,875,19,12,White
2000,876,32,13,White
2000,877,29,13,White
2000,878,20,10,White
2000,879,22,12,White
2000,880,26,13,White
2000,881,30,13,White
2000,882,19,14,White
2000,885,21,9,White
2000,886,32,9,White
2000,887,25,14,White
2000,888,21,14,Hispanic
2000,889,24,18,White
2000,890,27,12,White
2000,891,25,12,White
2000,892,30,17,White
2000,893,33,16,White
2000,895,25,18,White
2000,897,23,16,Black
2000,898,22,14,White
2000,899,24,15,White
2000,900,33,12,White
2000,901,19,12,Black
2000,902,27,16,White
2000,905,18,8,Hispanic
2000,907,19,12,Black
2000,909,17,9,Hispanic
2000,910,21,14,White
2000,911,18,8,Black
2000,914,23,15,White
2000,915,16,9,White
2000,916,19,10,White
2000,917,19,11,White
2000,918,18,13,White
2000,919,19,12,Black
2000,922,20,8,White
2000,923,27,12,White
2000,924,29,16,White
2000,925,21,14,White
2000,926,20,12,White
2000,927,17,12,White
2000,928,27,18,White
2000,929,35,18,White
2000,930,23,11,White
2000,931,19,12,White
2000,932,20,11,White
2000,933,18,12,White
2000,936,17,14,White
2000,938,16,8,Other
2000,941,15,14,Black
2000,942,26,9,White
2000,943,24,17,Black
2000,944,26,16,White
2000,946,28,16,White
2000,947,22,13,White
2000,948,17,9,Other
2000,949,28,15,White
2000,951,37,18,White
2000,957,20,8,White
2000,962,33,20,White
2000,965,29,16,White
2000,967,19,11,White
2000,968,21,12,White
2000,969,26,12,White
2000,970,32,15,White
2000,973,33,12,White
2000,974,22,13,White
2000,975,24,12,White
2000,976,24,17,White
2000,978,27,16,White
2000,979,19,18,White
2000,980,20,12,White
2000,981,20,12,White
2000,982,21,10,White
2000,983,17,12,Black
2000,984,21,14,White
2000,985,23,10,White
2000,987,29,12,White
