id,hours,class,racehisp,region
368,40,Working,Black,West
369,45,Middle,Hispanic,West
370,35,Working,White,West
371,60,Working,Hispanic,West
373,42,Working,White,West
374,40,Middle,White,West
375,45,Working,White,West
376,40,Working,Black,West
377,35,Middle,White,West
379,40,Middle,Black,West
381,40,Working,Other,West
383,44,Middle,White,West
387,40,Middle,Other,West
388,55,Middle,White,West
390,40,Middle,Other,West
394,55,Middle,White,West
395,10,Middle,White,West
396,20,Middle,White,West
398,38,Middle,White,West
399,40,Working,White,West
400,30,Working,Hispanic,West
401,25,Working,White,West
402,17,Working,White,West
408,45,Middle,Other,West
410,50,Working,Hispanic,West
411,40,Working,White,West
412,45,Middle,White,West
413,40,Working,White,West
414,40,Middle,White,West
415,10,Upper,Hispanic,West
417,44,Middle,White,West
419,38,Middle,White,West
420,40,Middle,White,West
421,50,Middle,White,West
423,44,Middle,White,West
426,40,Upper,White,West
428,40,Working,Hispanic,West
429,65,Middle,Black,West
430,48,Middle,Hispanic,West
431,40,Middle,White,West
432,40,Middle,Hispanic,West
433,40,Working,Other,West
434,48,Middle,White,West
435,40,Working,White,West
436,40,Middle,Hispanic,West
438,40,Working,Hispanic,West
442,60,Middle,White,West
443,40,Middle,White,West
445,60,Working,Black,West
446,45,Middle,White,West
448,40,Working,White,West
449,20,Working,White,West
451,50,Working,Hispanic,West
453,50,Middle,Hispanic,West
454,42,Working,Black,West
456,40,Working,White,West
458,30,Working,White,West
459,40,Middle,Hispanic,West
465,45,Middle,White,West
467,40,Middle,Hispanic,West
471,50,Middle,Hispanic,West
472,40,Working,Black,West
473,40,Working,White,West
476,40,Middle,Black,West
482,40,Middle,White,West
483,40,Working,White,West
486,40,Working,Hispanic,Middle Atlantic
488,40,Working,Black,Middle Atlantic
489,40,Working,Hispanic,Middle Atlantic
490,32,Working,Hispanic,Middle Atlantic
491,37,Middle,White,Middle Atlantic
493,40,Middle,White,Middle Atlantic
494,40,Middle,White,Middle Atlantic
495,50,Middle,White,Middle Atlantic
496,40,Middle,White,Middle Atlantic
499,40,Working,Black,Middle Atlantic
502,40,Working,Other,Middle Atlantic
507,40,Working,Hispanic,Middle Atlantic
508,55,Middle,White,Middle Atlantic
509,50,Upper,White,Middle Atlantic
510,40,Working,Black,Middle Atlantic
511,40,Working,Black,Middle Atlantic
517,25,Middle,Black,Middle Atlantic
519,40,Middle,White,Middle Atlantic
520,35,Middle,Hispanic,Middle Atlantic
521,40,Working,Hispanic,Middle Atlantic
522,24,Middle,Hispanic,Middle Atlantic
523,40,Working,White,Middle Atlantic
525,40,Working,Hispanic,Middle Atlantic
526,45,Working,Hispanic,Middle Atlantic
529,40,Middle,Other,Middle Atlantic
530,40,Middle,White,Middle Atlantic
531,40,Working,White,Middle Atlantic
532,50,Working,White,Middle Atlantic
537,40,Middle,Other,Middle Atlantic
538,40,Middle,Hispanic,Middle Atlantic
539,40,Lower,White,Middle Atlantic
542,40,Working,White,Middle Atlantic
543,40,Working,Hispanic,Middle Atlantic
544,40,Middle,Hispanic,Middle Atlantic
545,20,Working,White,Middle Atlantic
547,70,Middle,Hispanic,Middle Atlantic
548,15,Working,Black,Middle Atlantic
553,20,Working,Black,Middle Atlantic
554,40,Working,Hispanic,Middle Atlantic
555,40,Working,Black,Middle Atlantic
556,40,Working,Black,Middle Atlantic
559,40,Working,Black,Middle Atlantic
561,40,Upper,White,New England
562,65,Upper,White,New England
565,10,Middle,White,New England
567,38,Middle,White,New England
568,50,Middle,White,New England
569,50,Working,Hispanic,Middle Atlantic
570,50,Working,Black,Middle Atlantic
571,40,Working,Hispanic,Middle Atlantic
572,50,Middle,Hispanic,Middle Atlantic
573,40,Middle,Hispanic,Middle Atlantic
574,60,Working,Hispanic,Middle Atlantic
576,40,Middle,Hispanic,Middle Atlantic
577,50,Middle,White,Middle Atlantic
578,40,Working,Other,Middle Atlantic
579,50,Upper,Black,Middle Atlantic
580,42,Upper,Black,Middle Atlantic
583,50,Working,Other,Middle Atlantic
584,40,Working,Hispanic,Middle Atlantic
586,60,Middle,White,Middle Atlantic
588,40,Middle,Other,Middle Atlantic
589,50,Middle,White,Middle Atlantic
590,44,Middle,White,Middle Atlantic
591,40,Middle,White,Middle Atlantic
592,40,Middle,White,Middle Atlantic
593,35,Middle,White,Middle Atlantic
595,40,Middle,White,Middle Atlantic
596,60,Middle,White,Middle Atlantic
599,37,Middle,White,Middle Atlantic
600,40,Middle,White,Middle Atlantic
601,10,Middle,White,Middle Atlantic
602,68,Working,White,Middle Atlantic
603,40,Middle,White,Middle Atlantic
604,40,Working,Black,Middle Atlantic
605,80,Working,Hispanic,Middle Atlantic
607,35,Working,Hispanic,Middle Atlantic
611,50,Working,White,Middle Atlantic
613,40,Middle,White,Middle Atlantic
614,40,Working,White,Middle Atlantic
615,50,Middle,White,Middle Atlantic
617,55,Upper,White,Middle Atlantic
619,20,Middle,White,Middle Atlantic
620,40,Working,White,Middle Atlantic
621,28,Middle,Other,Middle Atlantic
622,35,Middle,White,Middle Atlantic
623,40,Working,White,Middle Atlantic
625,28,Middle,White,Middle Atlantic
626,40,Lower,Black,Middle Atlantic
627,30,Working,Other,Middle Atlantic
628,37,Working,Other,Middle Atlantic
629,45,Working,Other,Middle Atlantic
632,50,Middle,White,Middle Atlantic
633,40,Middle,Black,Middle Atlantic
635,40,Middle,White,Middle Atlantic
640,40,Lower,White,Middle Atlantic
641,40,Working,White,Middle Atlantic
642,15,Working,White,Middle Atlantic
643,39,Working,White,Middle Atlantic
644,40,Working,White,Middle Atlantic
645,37,Working,White,Middle Atlantic
647,62,Working,Hispanic,Middle Atlantic
649,37,Working,Black,Middle Atlantic
650,40,Working,White,Middle Atlantic
651,6,Working,Black,Middle Atlantic
653,60,Middle,Black,Middle Atlantic
656,45,Working,Other,Middle Atlantic
657,40,Working,White,Middle Atlantic
658,50,Working,White,Middle Atlantic
659,40,Working,Hispanic,Middle Atlantic
660,27,Working,White,Middle Atlantic
661,40,Middle,White,Middle Atlantic
662,40,Working,Hispanic,Middle Atlantic
663,40,Working,White,Middle Atlantic
664,10,Working,White,Middle Atlantic
665,40,Lower,Hispanic,Middle Atlantic
666,43,Working,White,Middle Atlantic
667,38,Middle,White,Middle Atlantic
668,12,Middle,White,Middle Atlantic
670,35,Middle,White,Middle Atlantic
671,22,Middle,White,Middle Atlantic
672,44,Middle,White,Middle Atlantic
673,20,Middle,White,Middle Atlantic
675,37,Middle,Black,Middle Atlantic
677,40,Working,Black,Middle Atlantic
679,4,Middle,Black,Middle Atlantic
680,40,Working,White,Midwest
682,45,Working,White,Midwest
684,40,Middle,White,Midwest
686,42,Middle,White,Midwest
687,40,Working,White,Midwest
689,20,Working,White,Midwest
690,45,Working,White,Midwest
691,45,Working,White,Midwest
692,40,Working,White,Midwest
695,50,Middle,White,Midwest
696,55,Working,White,Midwest
697,55,Middle,White,Midwest
701,40,Middle,White,Midwest
702,38,Middle,White,Midwest
703,48,Middle,White,Midwest
704,40,Middle,White,Midwest
707,40,Working,White,Midwest
709,40,Working,White,Midwest
710,50,Working,White,Midwest
714,40,Working,White,Midwest
715,60,Working,White,Midwest
716,50,Working,White,Midwest
719,36,Working,White,Midwest
720,45,Working,Hispanic,West
722,45,Middle,White,West
723,50,Working,White,West
724,40,Working,Hispanic,West
725,40,Working,White,West
727,45,Middle,White,West
731,40,Working,Hispanic,West
739,40,Middle,White,Midwest
741,50,Middle,White,Midwest
742,25,Middle,White,Midwest
743,60,Middle,White,Midwest
747,52,Middle,Black,Midwest
748,27,Working,White,Midwest
750,40,Working,White,Midwest
752,43,Working,White,Midwest
753,36,Middle,White,Midwest
754,37,Middle,White,Midwest
755,40,Middle,White,Midwest
756,26,Working,White,Midwest
761,25,Working,White,Midwest
762,40,Middle,White,West
763,50,Middle,White,West
766,50,Middle,White,West
767,8,Working,White,West
768,40,Working,White,West
770,35,Middle,White,West
773,40,Working,Hispanic,West
774,40,Working,White,West
775,65,Working,White,West
778,40,Working,Hispanic,West
781,40,Working,Hispanic,West
782,43,Working,White,West
785,40,Working,White,West
787,3,Working,White,West
788,80,Working,White,West
789,21,Working,Hispanic,West
790,80,Working,White,New England
791,40,Middle,White,New England
792,50,Middle,White,New England
793,65,Working,Hispanic,New England
794,50,Working,White,New England
795,32,Working,Hispanic,New England
796,40,Middle,White,New England
797,40,Working,White,New England
798,40,Working,Black,New England
799,45,Middle,White,New England
800,50,Middle,White,New England
802,70,Middle,White,New England
805,25,Working,White,New England
807,40,Working,White,New England
812,72,Middle,White,Southeast
813,40,Working,White,Southeast
817,40,Working,White,Southeast
820,55,Working,White,Southeast
821,45,Working,White,Southeast
822,44,Working,White,Southeast
824,54,Working,White,Southeast
826,40,Working,White,Southeast
827,86,Working,Black,Southeast
834,40,Working,White,Southeast
836,20,Middle,White,Southeast
837,15,Middle,White,Southeast
839,55,Upper,White,Southeast
841,45,Working,Hispanic,Southeast
843,56,Working,White,Southeast
845,40,Middle,White,Southeast
851,50,Upper,White,Southeast
854,48,Middle,Black,Southeast
857,35,Working,White,Midwest
860,60,Middle,White,Midwest
861,30,Working,White,Midwest
862,32,Working,White,Midwest
864,14,Working,Black,Midwest
865,48,Working,Black,Midwest
867,40,Middle,White,Midwest
868,44,Lower,White,Midwest
870,40,Working,White,Midwest
871,56,Middle,White,Midwest
872,46,Working,White,Midwest
873,18,Working,White,Midwest
874,35,Working,White,Midwest
884,40,Middle,White,Midwest
887,40,Working,White,Midwest
890,40,Working,White,Midwest
892,57,Middle,White,Midwest
893,25,Middle,White,Midwest
894,38,Working,White,Midwest
895,45,Middle,White,Midwest
896,50,Middle,White,Midwest
897,45,Middle,Black,Midwest
899,89,Working,White,Midwest
900,49,Middle,White,Midwest
907,30,Working,Black,Midwest
908,40,Middle,Black,Midwest
909,20,Middle,Hispanic,Midwest
919,40,Working,Black,Southeast
920,45,Middle,White,Southeast
923,52,Working,White,Southeast
924,48,Middle,White,Southeast
925,40,Working,White,Southeast
928,12,Working,White,Southeast
930,48,Working,White,Southeast
932,40,Working,White,Southeast
934,22,Middle,White,West
935,30,Working,White,West
936,30,Working,White,West
937,40,Working,White,West
939,25,Working,White,West
940,50,Working,White,West
941,60,Working,Black,West
945,40,Working,White,West
946,50,Middle,White,West
947,50,Working,White,West
949,32,Middle,White,West
950,40,Middle,White,West
952,60,Working,White,West
954,40,Working,Hispanic,West
957,36,Working,White,West
958,40,Lower,White,West
959,40,Middle,White,West
960,40,Working,White,West
961,50,Middle,White,West
962,6,Upper,White,West
963,50,Middle,White,West
964,50,Working,Hispanic,West
966,40,Middle,White,West
967,40,Working,White,West
968,39,Working,White,West
969,60,Middle,White,West
972,48,Working,White,West
973,10,Middle,White,Midwest
976,32,Middle,White,Midwest
977,50,Middle,White,Midwest
978,55,Middle,White,Midwest
982,36,Working,White,Midwest
983,40,Working,Black,Midwest
986,40,Working,White,Midwest
987,40,Working,White,Midwest
988,32,Middle,Other,Midwest
989,20,Middle,White,Midwest
990,60,Middle,White,Midwest
991,40,Middle,Hispanic,Midwest
994,45,Middle,White,Midwest
1000,40,Middle,White,Midwest
1001,48,Working,White,Midwest
1002,42,Middle,White,Midwest
1003,28,Middle,White,Midwest
1004,16,Working,White,Midwest
1005,60,Middle,White,Midwest
1009,40,Middle,White,Midwest
1010,20,Working,White,Midwest
1011,37,Working,White,Midwest
1012,50,Middle,White,Midwest
1013,44,Middle,White,Midwest
1015,40,Middle,White,West
1017,50,Working,White,West
1021,56,Middle,White,West
1023,46,Lower,White,West
1024,40,Working,White,West
1026,30,Working,Hispanic,West
1029,40,Working,Hispanic,West
1033,10,Middle,Black,West
1037,48,Working,White,West
1038,40,Middle,White,West
1039,48,Working,White,West
1040,15,Working,Black,West
1042,40,Working,White,Midwest
1044,40,Working,Hispanic,Midwest
1045,36,Working,Hispanic,Midwest
1046,42,Working,Black,Midwest
1047,40,Working,Hispanic,Midwest
1050,60,Middle,Hispanic,Midwest
1051,30,Upper,White,Midwest
1052,40,Working,White,Midwest
1053,75,Working,Hispanic,Midwest
1057,55,Middle,Hispanic,Midwest
1060,40,Lower,White,Midwest
1062,40,Working,Hispanic,Midwest
1063,40,Working,Hispanic,Midwest
1065,40,Working,White,Midwest
1067,40,Working,Hispanic,Midwest
1068,50,Middle,White,Midwest
1069,40,Working,Hispanic,Midwest
1070,15,Middle,White,West
1072,40,Middle,White,West
1073,8,Upper,White,West
1076,40,Middle,Other,West
1077,45,Middle,White,West
1079,35,Working,White,West
1080,40,Working,White,West
1083,40,Working,White,West
1086,36,Middle,Hispanic,West
1088,50,Working,White,West
1090,60,Working,White,West
1093,70,Working,White,West
1094,55,Middle,White,West
1095,49,Working,White,Midwest
1096,55,Working,Black,Midwest
1097,72,Working,Black,Midwest
1099,40,Working,White,Midwest
1100,55,Working,White,Midwest
1101,40,Working,Other,Midwest
1102,70,Working,Hispanic,Midwest
1103,80,Middle,White,Midwest
1104,63,Working,White,Midwest
1105,45,Middle,White,Midwest
1107,40,Middle,White,Midwest
1108,42,Working,White,Midwest
1109,58,Working,White,Midwest
1111,40,Middle,White,Midwest
1114,35,Upper,White,Midwest
1116,55,Working,White,Middle Atlantic
1117,37,Working,White,Middle Atlantic
1120,43,Middle,White,Middle Atlantic
1121,46,Middle,White,Middle Atlantic
1125,40,Middle,White,Middle Atlantic
1127,42,Working,White,Middle Atlantic
1128,45,Working,White,Middle Atlantic
1131,44,Working,Black,Middle Atlantic
1135,20,Working,White,Middle Atlantic
1138,15,Working,White,Midwest
1139,36,Working,White,Midwest
1140,40,Working,White,Midwest
1141,40,Middle,White,Midwest
1142,20,Middle,White,Midwest
1144,46,Working,Black,Midwest
1145,36,Middle,White,Midwest
1149,44,Working,White,Midwest
1150,50,Working,White,Midwest
1152,15,Middle,White,Midwest
1155,40,Working,White,Midwest
1157,20,Middle,White,Midwest
1159,60,Middle,White,Midwest
1162,40,Working,White,Midwest
1163,10,Middle,White,Midwest
1167,52,Lower,White,Southeast
1169,60,Middle,White,Southeast
1171,40,Working,White,Southeast
1172,40,Middle,White,Southeast
1174,42,Middle,White,Southeast
1176,50,Middle,White,Southeast
1179,80,Middle,Black,Southeast
1180,45,Middle,Other,Southeast
1181,40,Middle,White,Southeast
1183,50,Middle,White,Southeast
1184,40,Middle,White,Southeast
1185,42,Working,White,Southeast
1186,60,Middle,White,Southeast
1187,84,Working,White,Southeast
1188,50,Working,Hispanic,Southeast
1189,40,Middle,Black,Southeast
1191,40,Upper,Black,Southeast
1192,60,Working,White,Southeast
1193,40,Working,White,Southeast
1194,50,Working,Black,Southeast
1196,60,Lower,White,Southeast
1197,40,Lower,White,Southeast
1198,15,Lower,White,Southeast
1199,60,Working,Black,Southeast
1201,40,Middle,White,West
1202,60,Working,White,West
1204,46,Middle,Black,West
1205,50,Middle,Hispanic,West
1206,40,Working,White,West
1209,21,Middle,Black,West
1210,48,Working,White,West
1211,50,Working,White,West
1212,40,Working,Black,West
1213,50,Working,Black,West
1214,50,Working,White,West
1215,40,Working,Black,West
1216,58,Middle,White,West
1217,40,Working,Hispanic,West
1218,44,Working,Black,West
1219,40,Working,White,West
1221,40,Working,Black,West
1222,40,Middle,White,West
1224,42,Working,White,West
1226,48,Middle,White,Midwest
1230,40,Working,White,Midwest
1231,36,Lower,White,Midwest
1232,44,Working,White,Midwest
1234,20,Working,White,Midwest
1235,40,Working,White,Midwest
1237,50,Middle,Black,Midwest
1238,40,Working,Black,Midwest
1239,14,Working,White,Middle Atlantic
1240,40,Working,White,Middle Atlantic
1241,40,Middle,White,Middle Atlantic
1242,85,Middle,White,Middle Atlantic
1246,55,Middle,White,Middle Atlantic
1248,55,Middle,White,Middle Atlantic
1249,32,Working,Black,Middle Atlantic
1250,60,Middle,White,Middle Atlantic
1251,46,Working,White,Middle Atlantic
1253,46,Working,White,Middle Atlantic
1255,40,Lower,White,Middle Atlantic
1256,40,Working,Hispanic,Middle Atlantic
1257,60,Working,White,Middle Atlantic
1259,70,Middle,White,Middle Atlantic
1261,50,Working,Black,Middle Atlantic
1270,20,Working,White,Middle Atlantic
1271,50,Middle,White,Middle Atlantic
1272,40,Working,White,Middle Atlantic
1273,60,Upper,White,New England
1274,40,Middle,White,New England
1275,45,Upper,White,New England
1278,45,Middle,White,New England
1279,32,Middle,White,New England
1284,38,Working,White,New England
1287,40,Working,White,New England
1288,60,Middle,White,New England
1289,60,Middle,White,New England
1292,6,Lower,White,West
1293,67,Working,White,West
1296,40,Working,White,West
1298,40,Working,White,West
1301,40,Middle,Other,West
1304,35,Middle,Hispanic,West
1305,32,Working,White,West
1306,40,Lower,Hispanic,West
1307,60,Working,Hispanic,West
1308,40,Working,Hispanic,West
1310,40,Middle,White,New England
1311,78,Working,Other,New England
1313,40,Middle,White,New England
1314,37,Working,Black,New England
1316,40,Working,Hispanic,New England
1318,40,Lower,Black,New England
1319,74,Working,Black,New England
1320,40,Working,White,New England
1321,52,Working,White,New England
1322,48,Upper,White,New England
1323,43,Working,White,New England
