"","commute","county","cz","state","mobility","top1pc_share","gini","teen_birthrate","par_inc_median","kid_inc_median","mobility_hi","commute_hi"
"640",25.58043011,"Crawford","Louisville","Indiana",42.5675,0.04873,0.30082,0.19017,51000,34300,0,1
"641",20.33394553,"Daviess","Bloomington","Indiana",46.247,0.14763,0.41534,0.13835,55300,40600,1,0
"642",24.07483237,"Dearborn","Washington","Indiana",42.50575,0.06849,0.29087,0.15669,72800,40000,0,1
"643",23.22448072,"Decatur","Washington","Indiana",42.765,0.05969,0.27971,0.1709,62900,39700,0,1
"644",21.78200053,"De Kalb","Fort Wayne","Indiana",41.19325,0.14889,0.32177,0.1843,73400,39400,0,0
"645",20.44178316,"Delaware","Muncie","Indiana",36.70825,0.09789,0.40521,0.18235,63800,32800,0,0
"646",24.35401405,"Dubois","Evansville","Indiana",52.6765,0.12359,0.30905,0.08827,74200,58900,1,1
"647",23.68105446,"Elkhart","Concord","Indiana",41.038,0.19635,0.44673,0.1724,63400,36100,0,1
"648",18.9302956,"Fayette","Wayne","Indiana",35.17325,0.05486,0.31557,0.20801,62800,30100,0,0
"649",23.73174152,"Floyd","Louisville","Indiana",39.733,0.0994,0.38113,0.13864,71100,37500,0,1
"650",19.78233469,"Fountain","Lafayette","Indiana",44.59075,0.076,0.28809,0.17661,58400,41000,1,0
"651",22.40215458,"Franklin","Washington","Indiana",39.08375,0.08348,0.30514,0.18031,57500,35000,0,1
"652",18.22556572,"Fulton","Wayne","Indiana",42.71425,0.07271,0.30035,0.16704,60600,40600,0,0
"653",29.41955583,"Gibson","Evansville","Indiana",47.86425,0.05514,0.2807,0.1512,65400,47400,1,1
"654",20.35209392,"Grant","Muncie","Indiana",37.26675,0.09405,0.39015,0.20955,59400,31400,0,0
"655",19.6764058,"Greene","Bloomington","Indiana",43.6775,0.04218,0.31118,0.17225,56900,38100,1,0
"656",26.66738293,"Hamilton","Indianapolis","Indiana",43.217,0.1388,0.3249,0.06623,113700,48900,0,1
"657",24.47128701,"Hancock","Indianapolis","Indiana",42.47625,0.06583,0.27367,0.12309,88900,43100,0,1
"658",25.25783847,"Harrison","Louisville","Indiana",44.56525,0.05476,0.30381,0.14176,62100,38400,1,1
"659",24.67714317,"Hendricks","Indianapolis","Indiana",45.28375,0.09329,0.27194,0.10036,92000,46900,1,1
"660",21.21327945,"Henry","Muncie","Indiana",39.833,0.08289,0.35915,0.15389,63700,35100,0,0
"661",21.75878744,"Howard","Center","Indiana",37.267,0.07887,0.34123,0.16483,81200,33200,0,0
"662",18.9492262,"Huntington","Fort Wayne","Indiana",41.604,0.08457,0.28801,0.16785,69000,40100,0,0
"663",22.00826139,"Jackson","Columbus","Indiana",42.42725,0.09305,0.34173,0.20296,62300,38400,0,1
"664",21.07265451,"Jasper","Gary","Indiana",48.65525,0.06633,0.2703,0.12766,69500,46300,1,0
"665",21.1244061,"Jay","Fort Wayne","Indiana",43.8705,0.07252,0.27588,0.16017,56000,36600,1,0
"666",19.44084572,"Jefferson","Madison","Indiana",41.3205,0.07878,0.35145,0.17944,53300,34600,0,0
"667",21.33393309,"Jennings","Columbus","Indiana",40.399,0.05082,0.28534,0.22543,53300,34100,0,0
"668",23.10240272,"Johnson","Indianapolis","Indiana",41.5725,0.10233,0.33809,0.12768,82900,43000,0,1
"669",21.73095775,"Knox","Vincennes","Indiana",45.153,0.09056,0.39053,0.14608,56400,42600,1,0
"670",21.90162694,"Kosciusko","Wayne","Indiana",43.6635,0.19694,0.40574,0.16378,68700,40100,1,1
"671",23.15013186,"Lagrange","Concord","Indiana",48.996,0.14464,0.36288,0.13012,55400,43500,1,1
"672",26.40412941,"Lake","Gary","Indiana",39.42525,0.10546,0.39195,0.16831,68800,34400,0,1
"673",21.15718496,"La Porte","South Bend","Indiana",39.78675,0.07446,0.33234,0.17367,68600,35000,0,0
"674",21.37859572,"Lawrence","Bloomington","Indiana",39.681,0.06427,0.31908,0.20307,62600,35700,0,0
"675",21.68832524,"Madison","Muncie","Indiana",37.1835,0.12123,0.39343,0.17411,65300,32200,0,0
"676",28.15762028,"Marion","Indianapolis","Indiana",35.0365,0.1485,0.51473,0.20706,58300,27600,0,1
"677",21.02103068,"Marshall","South Bend","Indiana",43.261,0.10425,0.32312,0.16701,64900,39900,0,0
"678",32.03837224,"Martin","Bloomington","Indiana",44.302,0.0412,0.33335,0.17524,54300,38500,1,1
"679",20.51373084,"Miami","Center","Indiana",40.6705,0.0694,0.31479,0.18451,62900,34200,0,0
"680",22.1995466,"Monroe","Bloomington","Indiana",38.2645,0.11654,0.41897,0.1307,69700,33700,0,1
"681",21.07457126,"Montgomery","Terre Haute","Indiana",43.7785,0.06746,0.29396,0.16806,64800,39300,1,0
"682",20.62293144,"Morgan","Indianapolis","Indiana",41.21175,0.0842,0.30815,0.17567,73600,36500,0,0
"683",19.57112919,"Newton","Gary","Indiana",45.7115,0.11155,0.31387,0.17477,60000,39600,1,0
"684",22.18216472,"Noble","Concord","Indiana",42.81375,0.0676,0.26429,0.19316,65300,38700,0,1
"685",23.08203483,"Orange","Bloomington","Indiana",41.421,0.18328,0.44288,0.18169,48600,35300,0,1
"686",22.40799342,"Owen","Bloomington","Indiana",39.1335,0.09007,0.33982,0.20764,55300,29700,0,1
"687",21.58726674,"Parke","Terre Haute","Indiana",44.12725,0.04645,0.32752,0.1619,55100,37100,1,0
"688",20.3044795,"Perry","Evansville","Indiana",45.57575,0.0701,0.3005,0.1622,61400,46200,1,0
"689",25.22091639,"Pike","Evansville","Indiana",48.6665,0.04397,0.28349,0.16186,56600,44800,1,1
"690",22.67111196,"Porter","Gary","Indiana",44.763,0.11472,0.29045,0.10158,87200,44300,1,1
"691",26.09652674,"Posey","Evansville","Indiana",44.5905,0.05382,0.29789,0.13128,74900,48300,1,1
"692",18.24172456,"Pulaski","Center","Indiana",45.42,0.04566,0.30616,0.13509,61900,40100,1,0
"693",21.87487814,"Putnam","Terre Haute","Indiana",42.09525,0.06276,0.30851,0.19028,64600,36100,0,1
"694",19.3222775,"Randolph","Muncie","Indiana",42.51575,0.04633,0.28529,0.19946,54300,37000,0,0
"695",22.32043885,"Ripley","Washington","Indiana",48.15625,0.12646,0.34482,0.1289,69300,45200,1,1
"696",24.45035863,"Rush","Indianapolis","Indiana",42.41975,0.0715,0.30467,0.16412,61300,39700,0,1
"697",22.3950403,"St Joseph","South Bend","Indiana",38.397,0.13212,0.45977,0.16206,66400,34300,0,1
